epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5395,1.32413,2.4165,0.9072,0.99112,0.1145,0.24985,0.1716,1.11507,1.9917,0.84693,0.000405702,0.000405702,0.000405702
2,31.4583,1.04596,0.9432,0.84318,0.72586,0.23709,0.28115,0.19688,0.92113,1.00034,0.83324,0.000814227,0.000814227,0.000814227
3,40.6779,0.95726,0.81783,0.83152,0.70605,0.31017,0.33199,0.23176,0.88161,0.90522,0.82078,0.0012145,0.0012145,0.0012145
4,49.1212,0.92109,0.74954,0.82714,0.70382,0.37567,0.38683,0.27164,0.86024,0.76433,0.81682,0.00121287,0.00121287,0.00121287
5,57.6078,0.9115,0.71371,0.82338,0.67584,0.44363,0.39735,0.29013,0.76084,0.63501,0.80887,0.0012005,0.0012005,0.0012005
6,66.0013,0.87912,0.6852,0.82061,0.70306,0.44213,0.45127,0.3247,0.75742,0.60307,0.80605,0.00118812,0.00118812,0.00118812
7,74.2022,0.83323,0.64767,0.81479,0.69002,0.46263,0.4865,0.34867,0.72741,0.60983,0.80369,0.00117575,0.00117575,0.00117575
8,82.3427,0.84128,0.6399,0.81415,0.52272,0.52688,0.5516,0.39206,0.71627,0.55992,0.80388,0.00116337,0.00116337,0.00116337
9,90.2809,0.80617,0.60807,0.81507,0.59062,0.59871,0.60758,0.42103,0.69829,0.54105,0.80205,0.001151,0.001151,0.001151
10,98.5929,0.80393,0.6018,0.81412,0.69417,0.62064,0.64621,0.43666,0.7044,0.55358,0.80216,0.00113863,0.00113863,0.00113863
11,106.719,0.80825,0.59282,0.81156,0.70241,0.63974,0.68137,0.48155,0.66401,0.51329,0.80115,0.00112625,0.00112625,0.00112625
12,114.898,0.76194,0.56303,0.81017,0.74243,0.66022,0.71863,0.50262,0.68067,0.50407,0.80379,0.00111388,0.00111388,0.00111388
13,122.778,0.76435,0.5611,0.81047,0.7365,0.68307,0.74631,0.5061,0.66316,0.49469,0.80208,0.0011015,0.0011015,0.0011015
14,130.67,0.76057,0.54274,0.80946,0.74399,0.6816,0.76352,0.51655,0.66948,0.47612,0.79962,0.00108913,0.00108913,0.00108913
15,138.578,0.77534,0.54002,0.81222,0.75421,0.66466,0.74499,0.51402,0.70068,0.48016,0.80263,0.00107675,0.00107675,0.00107675
16,146.494,0.76161,0.53456,0.80912,0.72468,0.7289,0.77029,0.53386,0.64201,0.47957,0.79812,0.00106437,0.00106437,0.00106437
17,154.668,0.73398,0.51527,0.80684,0.71033,0.72096,0.78186,0.54093,0.64894,0.46225,0.79926,0.001052,0.001052,0.001052
18,162.663,0.74348,0.5158,0.80906,0.84997,0.63923,0.78259,0.54151,0.63931,0.46906,0.79813,0.00103962,0.00103962,0.00103962
19,170.62,0.75805,0.5125,0.80755,0.75686,0.72601,0.79494,0.53932,0.6604,0.45933,0.79912,0.00102725,0.00102725,0.00102725
20,178.611,0.71273,0.49187,0.80439,0.75089,0.73672,0.79718,0.55257,0.62461,0.43836,0.7965,0.00101488,0.00101488,0.00101488
21,187.172,0.70625,0.4917,0.80506,0.76572,0.71638,0.78989,0.55085,0.61704,0.44427,0.7981,0.0010025,0.0010025,0.0010025
22,195.254,0.72177,0.49355,0.80511,0.7413,0.72583,0.80439,0.55459,0.64502,0.45329,0.79921,0.000990125,0.000990125,0.000990125
23,203.256,0.73579,0.48846,0.80627,0.74344,0.72751,0.79427,0.55177,0.62893,0.44234,0.79917,0.00097775,0.00097775,0.00097775
24,211.13,0.71997,0.48341,0.80449,0.75925,0.74587,0.81697,0.56992,0.60211,0.42616,0.79627,0.000965375,0.000965375,0.000965375
25,219.012,0.70304,0.47642,0.80449,0.75302,0.75387,0.80355,0.56458,0.59985,0.42395,0.79492,0.000953,0.000953,0.000953
26,226.909,0.7255,0.47869,0.80439,0.78571,0.71735,0.80507,0.57014,0.59837,0.42361,0.79574,0.000940625,0.000940625,0.000940625
27,234.789,0.6903,0.4624,0.80289,0.82873,0.71478,0.81755,0.57185,0.60342,0.42132,0.79515,0.00092825,0.00092825,0.00092825
28,242.84,0.70759,0.46599,0.80259,0.80005,0.7306,0.81262,0.57314,0.5937,0.41465,0.79475,0.000915875,0.000915875,0.000915875
29,251.107,0.69759,0.46479,0.80052,0.79774,0.72101,0.81254,0.56473,0.62387,0.42508,0.79743,0.0009035,0.0009035,0.0009035
30,258.379,0.69245,0.45793,0.80005,0.79253,0.74583,0.82312,0.56864,0.60839,0.41531,0.79668,0.000891125,0.000891125,0.000891125
31,265.976,0.69916,0.46343,0.80366,0.77495,0.76023,0.83015,0.57992,0.61788,0.40676,0.79725,0.00087875,0.00087875,0.00087875
32,272.698,0.67759,0.44991,0.80225,0.79025,0.7423,0.83087,0.57677,0.60911,0.42042,0.79489,0.000866375,0.000866375,0.000866375
33,280.123,0.67979,0.4548,0.8029,0.76744,0.77137,0.82782,0.57716,0.60677,0.42392,0.79551,0.000854,0.000854,0.000854
34,287.754,0.69003,0.45316,0.80372,0.75906,0.7796,0.82428,0.584,0.61086,0.41098,0.79544,0.000841625,0.000841625,0.000841625
35,295.956,0.67438,0.44237,0.80104,0.7889,0.76117,0.83241,0.59063,0.59152,0.40291,0.79499,0.00082925,0.00082925,0.00082925
36,304.306,0.67739,0.44345,0.80129,0.7429,0.80403,0.83163,0.58349,0.58838,0.40098,0.79405,0.000816875,0.000816875,0.000816875
37,312.53,0.67817,0.44267,0.79984,0.80009,0.7622,0.8357,0.58632,0.58944,0.40367,0.79592,0.0008045,0.0008045,0.0008045
38,320.81,0.67085,0.44001,0.80098,0.80038,0.72756,0.82816,0.58601,0.59052,0.39972,0.79396,0.000792125,0.000792125,0.000792125
39,329.048,0.66373,0.43185,0.79929,0.77069,0.79384,0.83605,0.58687,0.5826,0.39268,0.79355,0.00077975,0.00077975,0.00077975
40,337.22,0.66434,0.42899,0.79945,0.78956,0.74171,0.82932,0.58801,0.59261,0.39758,0.79453,0.000767375,0.000767375,0.000767375
41,345.154,0.66818,0.43188,0.8004,0.75657,0.77768,0.83401,0.58824,0.57524,0.39497,0.79303,0.000755,0.000755,0.000755
42,353.014,0.65489,0.42633,0.79793,0.769,0.78966,0.83474,0.59616,0.57427,0.38713,0.79169,0.000742625,0.000742625,0.000742625
43,360.939,0.66858,0.43147,0.80011,0.7639,0.7937,0.83616,0.5966,0.58341,0.39398,0.79359,0.00073025,0.00073025,0.00073025
44,368.85,0.64569,0.42201,0.79909,0.75892,0.82123,0.84416,0.5945,0.57884,0.39231,0.79235,0.000717875,0.000717875,0.000717875
45,376.896,0.6575,0.42192,0.79993,0.78632,0.7858,0.8467,0.60194,0.57054,0.38731,0.79163,0.0007055,0.0007055,0.0007055
46,384.856,0.64442,0.41977,0.79713,0.7931,0.78168,0.84694,0.60077,0.57155,0.38506,0.79243,0.000693125,0.000693125,0.000693125
