epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,401.982,0.54048,0.33188,0.78762,0.78714,0.83193,0.88137,0.67394,0.47667,0.32052,0.78734,0.000742625,0.000742625,0.000742625
43,411.281,0.53942,0.32976,0.78907,0.79474,0.85484,0.89201,0.67497,0.47719,0.31932,0.78717,0.00073025,0.00073025,0.00073025
44,420.498,0.53539,0.33016,0.78694,0.79804,0.84549,0.88195,0.66946,0.47559,0.31819,0.78858,0.000717875,0.000717875,0.000717875
45,429.716,0.53806,0.32985,0.79023,0.7927,0.85674,0.88645,0.67714,0.47515,0.31678,0.78729,0.0007055,0.0007055,0.0007055
46,438.877,0.53737,0.32456,0.78956,0.83192,0.80428,0.88627,0.68404,0.47219,0.3149,0.78844,0.000693125,0.000693125,0.000693125
47,448.152,0.53395,0.32783,0.78754,0.80925,0.82247,0.88244,0.67266,0.47413,0.31998,0.78705,0.00068075,0.00068075,0.00068075
48,457.473,0.53314,0.32411,0.7877,0.80428,0.86083,0.88632,0.68161,0.46464,0.30925,0.78648,0.000668375,0.000668375,0.000668375
49,467.062,0.52512,0.3221,0.78841,0.79037,0.85752,0.88093,0.67107,0.48931,0.32557,0.78894,0.000656,0.000656,0.000656
50,476.374,0.53206,0.32679,0.78907,0.81778,0.84502,0.8936,0.681,0.47755,0.31732,0.78738,0.000643625,0.000643625,0.000643625
51,485.639,0.53057,0.32039,0.78529,0.80062,0.86356,0.88668,0.67968,0.4696,0.31026,0.78725,0.00063125,0.00063125,0.00063125
52,494.943,0.53134,0.32211,0.78648,0.79367,0.85314,0.88831,0.67863,0.47319,0.3163,0.78744,0.000618875,0.000618875,0.000618875
53,504.134,0.52835,0.32263,0.78612,0.79365,0.85192,0.88382,0.67121,inf,0.31178,0.78794,0.0006065,0.0006065,0.0006065
54,513.329,0.52862,0.32421,0.78755,0.81568,0.81217,0.87853,0.67006,0.48463,0.3158,0.7884,0.000594125,0.000594125,0.000594125
55,522.619,0.52093,0.31867,0.7873,0.76596,0.8468,0.87752,0.67201,0.46885,0.31411,0.78819,0.00058175,0.00058175,0.00058175
56,531.86,0.52066,0.31616,0.78633,0.8218,0.80297,0.88067,0.67786,0.46656,0.31223,0.78733,0.000569375,0.000569375,0.000569375
57,541.064,0.52131,0.31651,0.78675,0.78968,0.8484,0.88274,0.67412,0.46616,0.31777,0.78791,0.000557,0.000557,0.000557
58,550.86,0.52185,0.31551,0.78627,0.7788,0.86353,0.88422,0.68355,0.45827,0.30962,0.78598,0.000544625,0.000544625,0.000544625
59,560.286,0.51535,0.31449,0.78734,0.82567,0.8162,0.88408,0.68194,0.4617,0.30945,0.78668,0.00053225,0.00053225,0.00053225
60,569.591,0.52061,0.31439,0.78705,0.79558,0.84363,0.88504,0.68024,0.45816,0.30632,0.78822,0.000519875,0.000519875,0.000519875
61,578.872,0.50574,0.3065,0.78743,0.78355,0.85371,0.88161,0.67991,0.47309,0.30773,0.78725,0.0005075,0.0005075,0.0005075
62,588.118,0.51947,0.31036,0.78577,0.83571,0.81108,0.8896,0.68601,0.45278,0.30221,0.7867,0.000495125,0.000495125,0.000495125
63,597.951,0.50652,0.30488,0.78516,0.78958,0.8685,0.88736,0.68547,0.46255,0.30375,0.78711,0.00048275,0.00048275,0.00048275
64,607.518,0.50487,0.30675,0.78591,0.80453,0.83411,0.88448,0.68568,0.46142,0.3037,0.78745,0.000470375,0.000470375,0.000470375
65,616.773,0.51005,0.30717,0.78488,0.76182,0.87018,0.87721,0.68073,0.46765,0.31544,0.78874,0.000458,0.000458,0.000458
66,626.009,0.50113,0.30281,0.78394,0.77271,0.86095,0.87827,0.67829,0.45803,0.30476,0.78714,0.000445625,0.000445625,0.000445625
67,635.228,0.50136,0.30604,0.78523,0.78843,0.84023,0.88071,0.68012,0.46523,0.3095,0.78891,0.00043325,0.00043325,0.00043325
68,644.469,0.50715,0.30557,0.7868,0.76931,0.86317,0.88105,0.68013,0.45699,0.30555,0.78709,0.000420875,0.000420875,0.000420875
69,653.757,0.50692,0.3056,0.78617,0.8053,0.84163,0.88606,0.68355,0.4608,0.30287,0.78746,0.0004085,0.0004085,0.0004085
70,663.034,0.50591,0.30349,0.78535,0.80639,0.83314,0.88571,0.68389,0.45803,0.30414,0.78574,0.000396125,0.000396125,0.000396125
71,672.277,0.49659,0.29863,0.78375,0.79238,0.87105,0.89632,0.69259,0.44822,0.29518,0.78572,0.00038375,0.00038375,0.00038375
72,681.79,0.49242,0.29733,0.78312,0.78675,0.85399,0.88469,0.68331,0.45238,0.29791,0.78604,0.000371375,0.000371375,0.000371375
73,691.185,0.50119,0.30003,0.78446,0.80086,0.84674,0.8883,0.68546,0.4548,0.30095,0.78606,0.000359,0.000359,0.000359
74,700.449,0.49562,0.29805,0.78399,0.81606,0.84967,0.89203,0.69351,0.45023,0.29719,0.78597,0.000346625,0.000346625,0.000346625
75,709.792,0.49546,0.29751,0.78447,0.80023,0.83944,0.88299,0.68682,0.45126,0.29909,0.78639,0.00033425,0.00033425,0.00033425
76,718.987,0.48869,0.29379,0.78371,0.8,0.85908,0.88421,0.68746,0.4552,0.30288,0.78673,0.000321875,0.000321875,0.000321875
77,728.287,0.49164,0.29328,0.78475,0.8224,0.82619,0.88714,0.69301,inf,0.29665,0.78621,0.0003095,0.0003095,0.0003095
78,737.572,0.49311,0.29526,0.78512,0.78751,0.84867,0.88382,0.6863,0.45084,0.30063,0.78697,0.000297125,0.000297125,0.000297125
79,746.864,0.48564,0.29199,0.7855,0.80227,0.85449,0.89032,0.6886,0.44923,0.29783,0.7859,0.00028475,0.00028475,0.00028475
80,756.128,0.48779,0.29324,0.78371,0.78783,0.86567,0.88993,0.68868,0.44675,0.29289,0.78638,0.000272375,0.000272375,0.000272375
81,765.464,0.48665,0.29108,0.78308,0.78511,0.84614,0.88809,0.68846,0.44859,0.29491,0.78687,0.00026,0.00026,0.00026
82,774.706,0.48185,0.28768,0.78462,0.788,0.86869,0.88863,0.68913,0.44566,0.29126,0.78641,0.000247625,0.000247625,0.000247625
83,784.02,0.48575,0.28912,0.7832,0.78245,0.85539,0.88525,0.68612,0.44919,0.2926,0.78677,0.00023525,0.00023525,0.00023525
84,793.24,0.47939,0.28592,0.78269,0.78244,0.85557,0.88427,0.68984,0.44329,0.29165,0.78532,0.000222875,0.000222875,0.000222875
85,802.575,0.47702,0.28305,0.78409,0.79074,0.84786,0.88399,0.68685,0.45009,0.29464,0.78664,0.0002105,0.0002105,0.0002105
86,811.847,0.47346,0.2822,0.78166,0.80046,0.85199,0.88676,0.69233,0.4417,0.291,0.78625,0.000198125,0.000198125,0.000198125
87,821.12,0.47692,0.28149,0.78338,0.80182,0.85467,0.88658,0.69108,0.44391,0.28712,0.78589,0.00018575,0.00018575,0.00018575
88,830.51,0.47577,0.28102,0.78317,0.79802,0.86266,0.88632,0.68855,0.44424,0.28967,0.78531,0.000173375,0.000173375,0.000173375
89,840.075,0.47945,0.28151,0.78206,0.82173,0.8423,0.88977,0.69048,0.44154,0.2879,0.786,0.000161,0.000161,0.000161
90,849.36,0.47159,0.27753,0.78348,0.80273,0.84411,0.88918,0.68792,0.44807,0.28934,0.78696,0.000148625,0.000148625,0.000148625
91,875.034,0.46355,0.28465,0.77918,0.81051,0.85755,0.88677,0.68643,0.45818,0.2974,0.78713,0.00013625,0.00013625,0.00013625
92,883.605,0.4546,0.27599,0.77742,0.82148,0.84718,0.89101,0.68682,0.45102,0.29301,0.78675,0.000123875,0.000123875,0.000123875
93,892.108,0.45153,0.2724,0.7769,0.80186,0.85862,0.8916,0.69065,0.44797,0.28994,0.78631,0.0001115,0.0001115,0.0001115
94,900.581,0.44343,0.26764,0.77769,0.76978,0.89527,0.8879,0.68516,0.44851,0.29087,0.78646,9.9125e-05,9.9125e-05,9.9125e-05
95,909.046,0.44073,0.26617,0.77678,0.78437,0.87959,0.88738,0.6887,0.44809,0.29331,0.78588,8.675e-05,8.675e-05,8.675e-05
96,917.483,0.44423,0.2656,0.77696,0.79145,0.87364,0.88529,0.68648,0.44611,0.29055,0.78623,7.4375e-05,7.4375e-05,7.4375e-05
97,926.043,0.4432,0.26483,0.77733,0.79598,0.85504,0.88523,0.68915,0.44468,0.29368,0.78606,6.2e-05,6.2e-05,6.2e-05
98,934.75,0.43656,0.26152,0.77771,0.82053,0.82467,0.88349,0.68664,0.44392,0.29067,0.78568,4.9625e-05,4.9625e-05,4.9625e-05
99,943.305,0.4307,0.2582,0.77709,0.7876,0.86285,0.88393,0.68454,0.44473,0.28969,0.78611,3.725e-05,3.725e-05,3.725e-05
100,951.811,0.42646,0.25547,0.77572,0.79801,0.87157,0.88771,0.68705,0.44265,0.2879,0.78585,2.4875e-05,2.4875e-05,2.4875e-05
