epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,120.972,0.73574,0.52485,0.80891,0.76285,0.63535,0.72238,0.5093,0.66251,0.47902,0.79745,0.000742625,0.000742625,0.000742625
43,123.831,0.72961,0.52179,0.80785,0.7282,0.64893,0.72719,0.52375,0.64053,0.45831,0.79784,0.00073025,0.00073025,0.00073025
44,126.963,0.73296,0.51473,0.80874,0.65422,0.68994,0.72628,0.52162,0.66497,0.47002,0.79792,0.000717875,0.000717875,0.000717875
45,129.856,0.739,0.51676,0.8062,0.77049,0.61923,0.73691,0.53194,0.65752,0.47479,0.79828,0.0007055,0.0007055,0.0007055
46,132.764,0.74101,0.52675,0.80419,0.75072,0.67126,0.75065,0.53148,0.6482,0.47029,0.79777,0.000693125,0.000693125,0.000693125
47,135.602,0.71984,0.50692,0.80355,0.77923,0.66269,0.75135,0.53824,0.62872,0.46147,0.7972,0.00068075,0.00068075,0.00068075
48,138.522,0.71544,0.50119,0.80506,0.70894,0.72545,0.75101,0.53126,0.65039,0.45992,0.79648,0.000668375,0.000668375,0.000668375
49,141.383,0.73718,0.49735,0.80494,0.7105,0.69815,0.7326,0.52745,0.6761,0.46439,0.7993,0.000656,0.000656,0.000656
50,144.336,0.71947,0.49726,0.80542,0.70833,0.68868,0.75063,0.53221,0.64735,0.46273,0.79704,0.000643625,0.000643625,0.000643625
51,147.287,0.71027,0.49788,0.80361,0.66879,0.72336,0.75142,0.5356,0.62886,0.46246,0.79583,0.00063125,0.00063125,0.00063125
52,150.191,0.70374,0.49403,0.80547,0.74063,0.70333,0.7602,0.53707,0.62023,0.44626,0.79492,0.000618875,0.000618875,0.000618875
53,153.222,0.69723,0.48713,0.8027,0.78377,0.62458,0.73714,0.51724,0.61529,0.45378,0.79508,0.0006065,0.0006065,0.0006065
54,156.175,0.69864,0.48711,0.80474,0.80085,0.67889,0.77211,0.54788,0.6183,0.4461,0.79416,0.000594125,0.000594125,0.000594125
55,159.109,0.7164,0.49021,0.80442,0.76073,0.66807,0.76272,0.55594,0.6309,0.44615,0.79558,0.00058175,0.00058175,0.00058175
56,162.02,0.68204,0.47772,0.80771,0.74449,0.67987,0.76587,0.55033,0.61649,0.43813,0.79541,0.000569375,0.000569375,0.000569375
57,164.93,0.69419,0.48187,0.80295,0.72888,0.69127,0.7513,0.54391,0.61522,0.45397,0.79573,0.000557,0.000557,0.000557
58,167.814,0.7058,0.49075,0.80439,0.78761,0.62737,0.75028,0.5408,0.61999,0.45322,0.79616,0.000544625,0.000544625,0.000544625
59,170.736,0.69773,0.48446,0.8048,0.83616,0.62493,0.75774,0.54249,0.60952,0.44448,0.79436,0.00053225,0.00053225,0.00053225
60,173.707,0.70821,0.48136,0.80078,0.63305,0.72869,0.7376,0.52902,0.60884,0.45129,0.79531,0.000519875,0.000519875,0.000519875
61,176.637,0.69016,0.47499,0.80133,0.67966,0.76929,0.76833,0.54373,0.62049,0.44021,0.79617,0.0005075,0.0005075,0.0005075
62,179.581,0.68956,0.47026,0.80324,0.76774,0.68443,0.77853,0.55376,0.60153,0.42542,0.79478,0.000495125,0.000495125,0.000495125
63,182.486,0.6995,0.47641,0.80345,0.81181,0.65755,0.77448,0.56202,0.60092,0.43221,0.79495,0.00048275,0.00048275,0.00048275
64,185.437,0.68865,0.47055,0.80075,0.78176,0.6724,0.77244,0.54914,0.62301,0.43085,0.79647,0.000470375,0.000470375,0.000470375
65,188.334,0.6931,0.47058,0.80249,0.79425,0.65111,0.76635,0.5471,0.61698,0.43728,0.79408,0.000458,0.000458,0.000458
66,191.274,0.69671,0.47424,0.80206,0.76935,0.70491,0.77942,0.55976,0.60678,0.43753,0.79476,0.000445625,0.000445625,0.000445625
67,194.14,0.67668,0.46357,0.79943,0.77239,0.68707,0.79218,0.5593,0.60421,0.42573,0.79407,0.00043325,0.00043325,0.00043325
68,197.069,0.69989,0.46825,0.80014,0.72754,0.76762,0.8004,0.56813,0.59621,0.42486,0.79422,0.000420875,0.000420875,0.000420875
69,200.001,0.67598,0.46241,0.80184,0.74816,0.71246,0.78595,0.56725,0.61054,0.42169,0.79548,0.0004085,0.0004085,0.0004085
70,202.926,0.67959,0.4605,0.8016,0.76095,0.74918,0.80481,0.57381,0.60367,0.41913,0.79385,0.000396125,0.000396125,0.000396125
71,205.781,0.67539,0.46062,0.80308,0.76938,0.72227,0.80772,0.57007,0.59744,0.41843,0.79367,0.00038375,0.00038375,0.00038375
72,208.657,0.66646,0.45612,0.80088,0.74674,0.72678,0.7955,0.56986,0.59756,0.41921,0.79359,0.000371375,0.000371375,0.000371375
73,211.552,0.68024,0.45579,0.79992,0.70877,0.76026,0.78165,0.56938,0.58925,0.4132,0.79319,0.000359,0.000359,0.000359
74,214.65,0.68223,0.45542,0.80096,0.74551,0.69205,0.78262,0.5551,0.5992,0.43129,0.79329,0.000346625,0.000346625,0.000346625
75,217.576,0.67416,0.46114,0.80101,0.79023,0.66423,0.77603,0.55886,0.60478,0.4263,0.79442,0.00033425,0.00033425,0.00033425
76,220.571,0.68322,0.45939,0.7998,0.78487,0.66029,0.76809,0.55857,0.59666,0.42292,0.79482,0.000321875,0.000321875,0.000321875
77,223.51,0.65942,0.44862,0.79917,0.69945,0.75678,0.77639,0.55292,0.59393,0.41653,0.7939,0.0003095,0.0003095,0.0003095
78,226.48,0.67954,0.45658,0.79904,0.74326,0.71071,0.78337,0.56045,0.59075,0.42121,0.79402,0.000297125,0.000297125,0.000297125
79,229.583,0.66392,0.44672,0.79972,0.74427,0.72487,0.78736,0.56129,0.59803,0.41998,0.79423,0.00028475,0.00028475,0.00028475
80,232.553,0.6725,0.4541,0.80164,0.73248,0.72288,0.7789,0.56318,0.59101,0.41244,0.79429,0.000272375,0.000272375,0.000272375
81,235.487,0.66537,0.4493,0.79786,0.67063,0.76993,0.77451,0.5627,0.58952,0.41575,0.79347,0.00026,0.00026,0.00026
82,238.484,0.66254,0.4474,0.79891,0.72919,0.68031,0.77281,0.56587,0.58985,0.42088,0.79397,0.000247625,0.000247625,0.000247625
83,241.396,0.65083,0.44131,0.79915,0.74005,0.72708,0.79457,0.56911,0.59202,0.41421,0.79419,0.00023525,0.00023525,0.00023525
84,244.335,0.67049,0.44385,0.79818,0.85054,0.66011,0.79814,0.56643,0.59274,0.41093,0.79416,0.000222875,0.000222875,0.000222875
85,247.257,0.65743,0.4427,0.80007,0.7816,0.69996,0.80141,0.56107,0.595,0.41488,0.79353,0.0002105,0.0002105,0.0002105
86,250.216,0.65938,0.43972,0.80046,0.75465,0.71588,0.80125,0.57012,0.57902,0.40939,0.79301,0.000198125,0.000198125,0.000198125
87,253.296,0.65256,0.44009,0.8001,0.74556,0.70273,0.79284,0.56656,0.58253,0.41078,0.79309,0.00018575,0.00018575,0.00018575
88,256.247,0.64705,0.43684,0.79988,0.68575,0.77061,0.78932,0.55826,0.58069,0.41162,0.79296,0.000173375,0.000173375,0.000173375
89,259.106,0.64406,0.43454,0.79717,0.76767,0.68373,0.79285,0.56424,0.58426,0.40613,0.79295,0.000161,0.000161,0.000161
90,262.058,0.63253,0.42833,0.7978,0.74353,0.69135,0.78417,0.56209,0.58023,0.40584,0.79232,0.000148625,0.000148625,0.000148625
91,285.13,0.64127,0.47859,0.7959,0.75004,0.68893,0.77499,0.55475,0.59231,0.42262,0.79307,0.00013625,0.00013625,0.00013625
92,287.805,0.62419,0.45094,0.79398,0.83133,0.64698,0.77672,0.5478,0.59011,0.43172,0.79249,0.000123875,0.000123875,0.000123875
93,290.357,0.62182,0.44341,0.79417,0.79507,0.65504,0.78049,0.54896,0.58828,0.41527,0.79268,0.0001115,0.0001115,0.0001115
94,292.92,0.62652,0.44208,0.79287,0.75873,0.6717,0.77767,0.55131,0.59628,0.41842,0.79345,9.9125e-05,9.9125e-05,9.9125e-05
95,295.46,0.62012,0.43404,0.79556,0.67466,0.73724,0.77126,0.54734,0.60016,0.42009,0.7931,8.675e-05,8.675e-05,8.675e-05
96,298.107,0.59945,0.42322,0.79436,0.6462,0.77125,0.77711,0.55413,0.59149,0.41688,0.7931,7.4375e-05,7.4375e-05,7.4375e-05
97,300.624,0.61142,0.42253,0.7912,0.64518,0.77174,0.77884,0.55466,0.5939,0.414,0.79327,6.2e-05,6.2e-05,6.2e-05
98,303.142,0.60348,0.42414,0.79128,0.66672,0.79195,0.793,0.55738,0.5899,0.41108,0.7927,4.9625e-05,4.9625e-05,4.9625e-05
99,305.701,0.6005,0.41972,0.79192,0.699,0.76177,0.79109,0.56002,0.58627,0.40973,0.79242,3.725e-05,3.725e-05,3.725e-05
100,308.215,0.5927,0.41793,0.79068,0.69269,0.7519,0.7966,0.5617,0.58911,0.4084,0.79244,2.4875e-05,2.4875e-05,2.4875e-05
